,brand_name,brand_link,#_of_images
0,HOME,https://www.advertgallery.com/product-category/advertisements-by-brand/home/,35
1,24 MANTRA ORGANIC,https://www.advertgallery.com/product-category/advertisements-by-brand/24-mantra-organic/,5
2,A.O.SMITH,https://www.advertgallery.com/product-category/advertisements-by-brand/a-o-smith/,9
3,AAKASH INSTITUTE,https://www.advertgallery.com/product-category/advertisements-by-brand/aakash-institute/,36
4,AANVII HEARING SOLUTIONS,https://www.advertgallery.com/product-category/advertisements-by-brand/aanvii-hearing-solutions/,1
5,AASHIRVAAD,https://www.advertgallery.com/product-category/advertisements-by-brand/aashirvaad/,3
6,ACCU CHEK ACTIVE,https://www.advertgallery.com/product-category/advertisements-by-brand/accu-chek-active-advertisements/,7
7,ACE GROUP,https://www.advertgallery.com/product-category/advertisements-by-brand/ace-group/,20
8,ACT FIBERNET,https://www.advertgallery.com/product-category/advertisements-by-brand/act-fibernet-advertisement-in-newspaper/,18
9,ADANI REALTY,https://www.advertgallery.com/product-category/advertisements-by-brand/adani-realty/,4
10,ADARSH DEVELOPERS,https://www.advertgallery.com/product-category/advertisements-by-brand/adarsh-developers/,2
11,ADIDAS,https://www.advertgallery.com/product-category/advertisements-by-brand/adidas/,4
12,ADISHWAR,https://www.advertgallery.com/product-category/advertisements-by-brand/adishwar/,30
13,ADITYA BIRLA CAPITAL,https://www.advertgallery.com/product-category/advertisements-by-brand/aditya-birla-capital/,1
14,ADITYA BIRLA WORLD ACADEMY,https://www.advertgallery.com/product-category/advertisements-by-brand/aditya-birla-world-academy/,3
15,AHUJASONS,https://www.advertgallery.com/product-category/advertisements-by-brand/ahujasons/,6
16,AIR INDIA,https://www.advertgallery.com/product-category/advertisements-by-brand/air-india/,30
17,AIR MAURITIUS,https://www.advertgallery.com/product-category/advertisements-by-brand/air-mauritius/,1
18,AIR WICK,https://www.advertgallery.com/product-category/advertisements-by-brand/air-wick/,1
19,AIRASIA,https://www.advertgallery.com/product-category/advertisements-by-brand/airasia-newspaper-advertisements/,72
20,AIRTEL,https://www.advertgallery.com/product-category/advertisements-by-brand/airtel/,21
21,AKBARALLYS FURNITURE,https://www.advertgallery.com/product-category/advertisements-by-brand/akbarallys-furniture-advertisements/,9
22,ALLEN SOLLY,https://www.advertgallery.com/product-category/advertisements-by-brand/allen-solly/,4
23,AMAZON,https://www.advertgallery.com/product-category/advertisements-by-brand/amazon-newspaper-advertisements/,174
24,AMERICAN EXPRESS,https://www.advertgallery.com/product-category/advertisements-by-brand/american-express/,5
25,AMITY UNIVERSITY,https://www.advertgallery.com/product-category/advertisements-by-brand/amity-university-newspaper-advertisements/,124
26,AMUL DAIRY AD COLLECTION,https://www.advertgallery.com/product-category/advertisements-by-brand/amul/,433
27,AMWAY,https://www.advertgallery.com/product-category/advertisements-by-brand/amway-newspaper-advertisements/,8
28,ANNA UNIVERSITY,https://www.advertgallery.com/product-category/advertisements-by-brand/anna-university/,1
29,APARNA,https://www.advertgallery.com/product-category/advertisements-by-brand/aparna/,16
30,APOLLO HOSPITALS,https://www.advertgallery.com/product-category/advertisements-by-brand/apollo-hospitals/,33
31,APOLLO TYRES,https://www.advertgallery.com/product-category/advertisements-by-brand/apollo-tyres/,12
32,APPLE,https://www.advertgallery.com/product-category/advertisements-by-brand/apple/,44
33,APPU GHAR,https://www.advertgallery.com/product-category/advertisements-by-brand/appu-ghar/,1
34,AQUAFRESH,https://www.advertgallery.com/product-category/advertisements-by-brand/aquafresh/,3
35,AQUAGUARD,https://www.advertgallery.com/product-category/advertisements-by-brand/aquaguard/,4
36,ARENA ANIMATION,https://www.advertgallery.com/product-category/advertisements-by-brand/arena-animation/,2
37,ARIEL,https://www.advertgallery.com/product-category/advertisements-by-brand/ariel/,7
38,ARROW,https://www.advertgallery.com/product-category/advertisements-by-brand/arrow/,5
39,ASIAN PAINTS,https://www.advertgallery.com/product-category/advertisements-by-brand/asian-paints/,37
